"country_code","country","usage_rank","usage_index","total_observations","last_updated","region","iso2"
"not_classified","not_classified","167","0","150999","2025-08-11",,
"WSM","Samoa","168","0","0","2025-08-11",,
"VUT","Vanuatu","169","0","0","2025-08-11",,
"VIR","U.S. Virgin Islands","170","0","0","2025-08-11",,
"TON","Tonga","171","0","0","2025-08-11",,
"VCT","Saint Vincent and the Grenadines","172","0","0","2025-08-11",,
"TUV","Tuvalu","173","0","0","2025-08-11",,
"VGB","British Virgin Islands","174","0","0","2025-08-11",,
"GNQ","Equatorial Guinea","175","0","0","2025-08-11",,
"GNB","Guinea-Bissau","176","0","0","2025-08-11",,
"GLP","Guadeloupe","177","0","44","2025-08-11",,
"JEY","Jersey","178","0","31","2025-08-11",,
"GUF","French Guiana","179","0","16","2025-08-11",,
"GRL","Greenland","180","0","0","2025-08-11",,
"GIB","Gibraltar","181","0","0","2025-08-11",,
"COM","Comoros","182","0","0","2025-08-11",,
"ATG","Antigua and Barbuda","183","0","0","2025-08-11",,
"ASM","American Samoa","184","0","0","2025-08-11",,
"GGY","Guernsey","185","0","16","2025-08-11",,
"FSM","Micronesia","186","0","0","2025-08-11",,
"FRO","Faroe Islands","187","0","0","2025-08-11",,
"KIR","Kiribati","188","0","0","2025-08-11",,
"SLB","Solomon Islands","189","0","0","2025-08-11",,
"REU","Reunion","190","0","160","2025-08-11",,
"PLW","Palau","191","0","0","2025-08-11",,
"TCA","Turks and Caicos Islands","192","0","0","2025-08-11",,
"SXM","Sint Maarten","193","0","0","2025-08-11",,
"STP","Sao Tome and Principe","194","0","0","2025-08-11",,
"NRU","Nauru","195","0","0","2025-08-11",,
"MAF","Saint Martin","196","0","0","2025-08-11",,
"ABW","Aruba","197","0","0","2025-08-11",,
"KNA","Saint Kitts and Nevis","198","0","0","2025-08-11",,
"MTQ","Martinique","199","0","56","2025-08-11",,
"MNP","Northern Mariana Islands","200","0","0","2025-08-11",,
"MHL","Marshall Islands","201","0","0","2025-08-11",,
